0.1000000000	1.56467212526e-37
0.1047370898	8.94771001777e-37
0.1096985798	4.83373571456e-36
0.1148951000	5.86093972505e-35
0.1203377841	1.5974602985e-34
0.1260382930	7.72543327626e-34
0.1320088401	2.09057057565e-33
0.1382622174	4.88237770987e-33
0.1448118228	1.56927269007e-32
0.1516716888	5.39114137749e-32
0.1588565129	1.70935488758e-30
0.1663816886	5.65849901396e-30
0.1742633386	8.00161950708e-29
0.1825183494	3.12358765272e-28
0.1911644075	7.89992060312e-28
0.2002200372	2.06136477264e-27
0.2097046401	1.20888964237e-26
0.2196385372	2.30921925307e-26
0.2300430120	3.88791894247e-26
0.2409403560	2.5615206779e-26
0.2523539170	2.17028470468e-26
0.2643081487	3.80117782474e-25
0.2768286630	3.25151477201e-25
0.2899422854	1.00718112057e-24
0.3036771118	1.64736774285e-24
0.3180625693	1.74151323006e-24
0.3331294788	2.57910596017e-24
0.3489101213	3.32250462554e-24
0.3654383071	4.09547339905e-24
0.3827494479	2.73782041885e-24
0.4008806329	7.49637606895e-24
0.4198707084	8.49335656583e-24
0.4397603609	9.63921540197e-24
0.4605922041	1.35296095288e-23
0.4824108704	1.56179579893e-23
0.5052631065	1.60862502565e-23
0.5291978736	1.78082836106e-23
0.5542664521	1.9565507563e-23
0.5805225516	2.12312736523e-23
0.6080224262	2.24828885184e-23
0.6368249945	2.311409384e-23
0.6669919663	2.40435585511e-23
0.6985879747	2.50465503977e-23
0.7316807143	2.53526134282e-23
0.7663410868	2.58641650965e-23
0.8026433522	2.64860913884e-23
0.8406652886	2.67527307084e-23
0.8804883582	2.67644876692e-23
0.9221978823	2.7013745281e-23
0.9658832241	2.74072337795e-23
1.0116379798	2.77650305054e-23
1.0595601793	2.76930436436e-23
1.1097524964	2.76582151352e-23
1.1623224687	2.72101023928e-23
1.2173827277	2.75795609853e-23
1.2750512407	2.74430651821e-23
1.3354515629	2.70917209747e-23
1.3987131026	2.70218248756e-23
1.4649713983	2.68808878788e-23
1.5343684089	2.64155465732e-23
1.6070528183	2.57647575322e-23
1.6831803533	2.42841439542e-23
1.7629141181	2.3208037274e-23
1.8464249429	2.15021041001e-23
1.9338917505	1.99814789924e-23
2.0255019392	1.87079876437e-23
2.1214517849	1.74631409156e-23
2.2219468609	1.62224241426e-23
2.3272024790	1.44369541336e-23
2.4374441501	1.35099426198e-23
2.5529080682	1.25649693914e-23
2.6738416158	1.17137815859e-23
2.8005038942	1.097805929e-23
2.9331662784	1.01478094087e-23
3.0721129989	9.36647958715e-24
3.2176417503	8.62860590792e-24
3.3700643293	7.92725716583e-24
3.5297073027	7.29479619415e-24
3.6969127072	6.65546804882e-24
3.8720387818	6.15747712806e-24
4.0554607358	5.62878458578e-24
4.2475715525	5.19727870193e-24
4.4487828311	4.42796722039e-24
4.6595256687	4.0052804038e-24
4.8802515837	3.75150300002e-24
5.1114334834	3.4638800632e-24
5.3535666774	3.231344935e-24
5.6071699382	2.99927953963e-24
5.8727866132	2.77617805532e-24
6.1509857886	2.5709871915e-24
6.4423635087	2.36839372516e-24
6.7475440531	2.17465538036e-24
7.0671812739	1.99406875347e-24
7.4019599969	1.82526113063e-24
7.7525974886	1.67111961012e-24
8.1198449932	1.52837550276e-24
8.5044893418	1.39839742972e-24
8.9073546386	1.27830617113e-24
9.3293040263	1.1694635238e-24
9.7712415353	1.06855869654e-24
10.2341140211	9.76720523647e-25
10.7189131921	8.92024424223e-25
11.2266777351	8.14672727914e-25
11.7584955405	7.44028566467e-25
12.3155060329	6.7951029751e-25
12.8989026125	6.20586715662e-25
13.5099352120	5.66772678894e-25
14.1499129743	5.1762511416e-25
14.8202070580	4.72739369393e-25
15.5222535743	4.31745881836e-25
16.2575566644	3.94307135287e-25
17.0276917223	3.60114881182e-25
17.8343087693	3.28887600663e-25
18.6791359902	3.00368186715e-25
19.5639834352	2.74321827301e-25
20.4907468982	2.503310305e-25
21.4614119786	2.28270008606e-25
22.4780583355	2.08153167129e-25
23.5428641432	1.89809170509e-25
24.6581107582	1.73081782547e-25
25.8261876068	1.5782853573e-25
27.0495973046	1.43919517837e-25
28.3309610184	1.31236265475e-25
29.6730240819	1.19670755118e-25
31.0786618778	1.09124483074e-25
32.5508859984	9.95076265247e-26
34.0928506975	9.0738278502e-26
35.7078596490	8.27417502864e-26
37.3993730248	7.54499352807e-26
39.1710149081	6.88007289447e-26
41.0265810583	6.27076799331e-26
42.9700470432	5.71317847424e-26
45.0055767570	5.20516917757e-26
47.1375313412	4.74233148663e-26
49.3704785284	4.3206487939e-26
51.7092024290	3.93646164399e-26
54.1587137808	3.58643597612e-26
56.7242606849	3.26753419037e-26
59.4113398497	2.97698878672e-26
62.2257083673	2.71142044783e-26
65.1733960488	2.46933121652e-26
68.2607183427	2.24885692728e-26
71.4942898660	2.04806768956e-26
74.8810385759	1.86699562883e-26
78.4282206134	1.70193236086e-26
82.1434358492	1.55146252953e-26
86.0346441668	1.41429591205e-26
90.1101825167	1.2892563557e-26
94.3787827778	1.17527169283e-26
98.8495904663	1.07136454737e-26
103.5321843296	9.76643954214e-27
108.4365968690	8.90297719524e-27
113.5733358343	8.11585456471e-27
118.9534067370	7.39832236689e-27
124.5883364295	6.74422803021e-27
130.4901978014	6.14796293914e-27
136.6716356462	5.60441434243e-27
143.1458937523	5.10892151311e-27
149.9268432786	4.65723578457e-27
157.0290124729	4.24548411977e-27
164.4676177995	3.87013590142e-27
172.2585965399	3.52797265822e-27
180.4186409392	3.21606046769e-27
188.9652339691	2.93172479887e-27
